Country,Reported number of people receiving ART,Estimated number of people living with HIV,Estimated ART coverage among people living with HIV (%),Estimated number of people living with HIV_median,Estimated number of people living with HIV_min,Estimated number of people living with HIV_max,Estimated ART coverage among people living with HIV (%)_median,Estimated ART coverage among people living with HIV (%)_min,Estimated ART coverage among people living with HIV (%)_max,WHO Region
Afghanistan,920,7200,13,7200,4100,11000,13,7,20,Eastern Mediterranean
Albania,580,0,0,0,0,0,0,0,0,Europe
Algeria,12800,16000,81,16000,15000,17000,81,75,86,Africa
Angola,88700,330000,27,330000,290000,390000,27,23,31,Africa
Argentina,85500,140000,61,140000,130000,150000,61,55,67,Americas
Armenia,1900,3500,53,3500,3000,4400,53,44,65,Europe
Australia,22800,28000,83,28000,23000,31000,83,70,93,Western Pacific
Austria,0,0,0,0,0,0,0,0,0,Europe
Azerbaijan,4400,0,0,0,0,0,0,0,0,Europe
Bahamas,3100,6000,52,6000,5300,6700,52,45,58,Americas
Bahrain,0,0,0,0,0,0,0,0,0,Eastern Mediterranean
Bangladesh,3000,14000,22,14000,12000,16000,22,19,25,South-East Asia
Barbados,1500,3000,50,3000,2700,3400,50,44,57,Americas
Belarus,15500,27000,59,27000,22000,34000,59,48,75,Europe
Belgium,0,0,0,0,0,0,0,0,0,Europe
Belize,1400,4900,28,4900,4400,5400,28,26,31,Americas
Benin,44200,73000,61,73000,48000,120000,61,40,95,Africa
Bhutan,480,1300,37,1300,700,2700,37,20,78,South-East Asia
Bolivia (Plurinational State of),9900,22000,44,22000,20000,24000,44,40,48,Americas
Bosnia and Herzegovina,220,500,67,500,500,500,67,57,78,Europe
Botswana,307000,370000,83,370000,330000,400000,83,75,90,Africa
Brazil,593000,900000,66,900000,690000,1100000,66,51,82,Americas
Brunei Darussalam,150,0,0,0,0,0,0,0,0,Western Pacific
Bulgaria,1500,3500,41,3500,3000,4100,41,35,48,Europe
Burkina Faso,59300,96000,62,96000,78000,120000,62,50,75,Africa
