Country,Reported number of children receiving ART,Estimated number of children needing ART based on WHO methods,Estimated ART coverage among children (%),Estimated number of children needing ART based on WHO methods_median,Estimated number of children needing ART based on WHO methods_min,Estimated number of children needing ART based on WHO methods_max,Estimated ART coverage among children (%)_median,Estimated ART coverage among children (%)_min,Estimated ART coverage among children (%)_max,WHO Region
Afghanistan,60,500,17,500,500,530,17,10,26,Eastern Mediterranean
Albania,20,0,0,0,0,0,0,0,0,Europe
Algeria,770,500,95,500,500,520,95,95,95,Africa
Angola,4800,38000,13,38000,30000,47000,13,10,16,Africa
Argentina,1700,1800,92,1800,1600,2100,92,84,95,Americas
Armenia,0,0,0,0,0,0,0,0,0,Europe
Australia,0,100,0,100,100,100,0,0,0,Western Pacific
Austria,0,0,0,0,0,0,0,0,0,Europe
Azerbaijan,110,0,0,0,0,0,0,0,0,Europe
Bahamas,40,200,21,200,200,500,21,18,26,Americas
Bahrain,0,0,0,0,0,0,0,0,0,Eastern Mediterranean
Bangladesh,130,500,33,500,500,500,33,28,38,South-East Asia
Barbados,0,0,0,0,0,0,0,0,0,Americas
Belarus,220,500,88,500,200,500,88,64,95,Europe
Belgium,0,0,0,0,0,0,0,0,0,Europe
Belize,60,200,34,200,200,200,34,31,38,Americas
Benin,2000,4600,44,4600,2800,8000,44,27,77,Africa
Bhutan,0,0,0,0,0,0,0,0,0,South-East Asia
Bolivia (Plurinational State of),250,620,40,620,560,670,40,37,43,Americas
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,Europe
Botswana,5400,14000,38,14000,10000,17000,38,28,46,Africa
Brazil,0,0,0,0,0,0,0,0,0,Americas
Brunei Darussalam,0,0,0,0,0,0,0,0,0,Western Pacific
Bulgaria,0,0,0,0,0,0,0,0,0,Europe
Burkina Faso,1900,9100,21,9100,6300,12000,21,15,29,Africa
Burundi,3400,11000,30,11000,8000,14000,30,22,38,Africa
Cabo Verde,0,0,0,0,0,0,0,0,0,Africa
Cambodia,3000,3300,92,3300,2800,3900,92,78,95,Western Pacific
Cameroon,10 300,43000,24,43000,33000,51000,24,18,28,Africa
Canada,0,0,0,0,0,0,0,0,0,Americas
Central African Republic,2500,11000,23,11000,8200,14000,23,18,29,Africa
Chad,2600,16000,16,16000,11000,21000,16,11,22,Africa
Chile,140,500,56,500,500,500,56,50,61,Americas
China,6200,0,0,0,0,0,0,0,0,Western Pacific
Colombia,1500,3600,41,3600,2900,4300,41,32,49,Americas
Comoros,0,0,0,0,0,0,0,0,0,Africa
Congo,2000,7700,25,7700,5800,10000,25,19,33,Americas
Costa Rica,0,0,0,0,0,0,0,0,0,Americas
Côte d'Ivoire,12 300,31000,40,31000,23000,41000,40,29,54,Africa
Croatia,0,0,0,0,0,0,0,0,0,Europe
Cuba,30,100,34,100,100,200,34,23,46,Americas
Cyprus,0,0,0,0,0,0,0,0,0,Europe
Czechia,0,0,0,0,0,0,0,0,0,Europe
Democratic People's Republic of Korea,0,0,0,0,0,0,0,0,0,Western Pacific
Democratic Republic of the Congo,16 000,64000,25,64000,50000,76000,25,20,30,Africa
Denmark,0,0,0,0,0,0,0,0,0,Europe
Djibouti,80,810,10,810,640,1000,10,8,13,Eastern Mediterranean
Dominican Republic,780,1400,55,1400,1000,1900,55,39,74,Americas
Ecuador,540,660,82,660,500,1200,82,54,95,Americas
Egypt,180,500,39,500,500,500,39,36,42,Eastern Mediterranean
El Salvador,150,610,24,610,500,740,24,19,30,Americas
Equatorial Guinea,770,5300,14,5300,3800,7100,14,10,19,Africa
Eritrea,500,1300,37,1300,930,2000,37,26,55,Africa
Estonia,0,0,0,0,0,0,0,0,0,Europe
Eswatini,8600,11000,76,11000,9400,13000,76,63,88,Africa
Ethiopia,21 500,36000,59,36000,23000,55000,59,38,90,Africa
Fiji,0,0,0,0,0,0,0,0,0,Western Pacific
Finland,0,0,0,0,0,0,0,0,0,Europe
France,0,500,0,500,500,500,0,0,0,Europe
Gabon,1900,3200,57,3200,2300,4400,57,41,78,Africa
Gambia,550,1900,30,1900,1400,2500,30,23,39,Africa
Georgia,0,0,0,0,0,0,0,0,0,Europe
Germany,0,200,0,200,100,200,0,0,0,Europe
Ghana,5900,30000,20,30000,23000,37000,20,15,25,Africa
Greece,0,0,0,0,0,0,0,0,0,Europe
Guatemala,730,2000,36,2000,1800,2200,36,33,39,Americas
Guinea,2100,10000,20,10000,7900,13000,20,15,25,Africa
Guinea-Bissau,350,5700,6,5700,4700,6600,6,5,7,Africa
Guyana,110,500,38,500,500,500,38,31,44,Americas
Haiti,3400,8700,40,8700,7000,9900,40,32,45,Americas
Honduras,360,890,41,890,710,1100,41,33,49,Americas
Hungary,0,0,0,0,0,0,0,0,0,Europe
Iceland,0,0,0,0,0,0,0,0,0,Europe
India,0,0,0,0,0,0,0,0,0,South-East Asia
Indonesia,3900,18000,22,18000,15000,20000,22,19,26,South-East Asia
Iran (Islamic Republic of),510,880,58,880,580,1600,58,39,95,Eastern Mediterranean
Ireland,0,100,0,100,100,100,0,0,0,Europe
Israel,0,100,0,100,100,100,0,0,0,Europe
Italy,0,500,0,500,200,500,0,0,0,Europe
Jamaica,140,500,51,500,500,500,51,46,57,Americas
Japan,0,0,0,0,0,0,0,0,0,Western Pacific
Jordan,0,0,0,0,0,0,0,0,0,Eastern Mediterranean
Kazakhstan,430,500,95,500,500,500,95,95,95,Europe
Kenya,74 300,120000,61,120000,95000,160000,61,47,78,Africa
Kuwait,0,0,0,0,0,0,0,0,0,Eastern Mediterranean
Kyrgyzstan,450,500,95,500,500,500,95,95,95,Europe
Lao People's Democratic Republic,280,700,40,700,620,820,40,35,46,Western Pacific
Latvia,0,0,0,0,0,0,0,0,0,Europe
Lebanon,0,0,0,0,0,0,0,0,0,Eastern Mediterranean
Lesotho,8500,12000,70,12000,9500,14000,70,55,81,Africa
Liberia,680,3700,18,3700,3000,4400,18,14,21,Africa
Libya,80,500,33,500,500,500,33,30,35,Eastern Mediterranean
Lithuania,0,0,0,0,0,0,0,0,0,Europe
Luxembourg,0,0,0,0,0,0,0,0,0,Europe
Madagascar,90,1900,5,1900,1600,2500,5,4,6,Africa
Malawi,45 100,74000,61,74000,57000,89000,61,47,73,Africa
Malaysia,400,500,94,500,500,520,94,77,95,Western Pacific
Maldives,0,0,0,0,0,0,0,0,0,South-East Asia
Mali,3400,19000,18,19000,15000,24000,18,14,23,Africa
Malta,0,0,0,0,0,0,0,0,0,Europe
Mauritania,180,500,54,500,500,500,54,46,66,Africa
Mauritius,40,100,45,100,100,200,45,40,50,Africa
